created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2026-01-16T06:23:08Z,1195,hub,1768544551,"Moist,+001.89,+004.36,+001.38,+000.69,+001.52,+000.96,+001.26,+001.59","Temp,+008.34,+008.10,+007.99,+007.81,+007.88,+007.89,+007.97,+008.11",,,,
2026-01-16T06:24:03Z,1196,9f48: @w1r,1768544604,"Moist,+008.43,+007.87,+001.93,+002.23,+001.83,+000.77,+001.57,+001.39","Temp,+008.16,+008.19,+007.75,+007.64,+007.25,+007.30,+007.37,+007.49",,,,
2026-01-16T07:23:14Z,1197,hub,1768548156,"Moist,+001.97,+004.31,+001.47,+000.71,+001.50,+000.97,+001.25,+001.59","Temp,+007.52,+007.26,+007.09,+006.88,+006.94,+007.04,+007.04,+007.14",,,,
2026-01-16T07:24:08Z,1198,9f48: @w1r,1768548210,"Moist,+008.48,+007.91,+001.89,+000.92,+001.08,+000.53,+000.64,+000.83","Temp,+007.34,+007.24,+006.79,+006.66,+006.25,+006.31,+006.31,+006.31",,,,
2026-01-16T08:23:20Z,1199,hub,1768551762,"Moist,+001.84,+004.27,+001.38,+000.65,+001.44,+000.91,+001.25,+001.52","Temp,+006.20,+006.02,+005.86,+005.70,+005.84,+005.86,+005.87,+006.10",,,,
2026-01-16T08:24:14Z,1200,9f48: @w1r,1768551816,"Moist,+008.60,+007.96,+001.76,+000.92,+001.09,+000.50,+000.57,+000.78","Temp,+005.92,+006.06,+005.66,+005.51,+005.13,+005.25,+005.36,+005.48",,,,
2026-01-16T09:23:26Z,1201,hub,1768555367,"Moist,+001.90,+004.30,+001.37,+000.58,+001.43,+000.88,+001.23,+001.53","Temp,+005.23,+005.10,+004.93,+004.87,+005.03,+005.03,+005.08,+005.33",,,,
2026-01-16T09:24:20Z,1202,9f48: @w1r,1768555421,"Moist,+008.63,+008.01,+001.79,+001.01,+001.05,+000.46,+000.62,+000.82","Temp,+005.08,+005.14,+004.83,+004.68,+004.32,+004.48,+004.53,+004.77",,,,
2026-01-16T10:23:31Z,1203,hub,1768558972,"Moist,+001.85,+004.23,+001.39,+000.78,+001.44,+000.95,+001.25,+001.55","Temp,+004.93,+004.81,+004.69,+004.64,+004.70,+004.71,+004.81,+005.08",,,,
2026-01-16T10:24:26Z,1204,9f48: @w1r,1768559026,"Moist,+008.67,+008.04,+001.76,+001.05,+001.06,+000.49,+000.58,+000.81","Temp,+004.74,+004.88,+004.55,+004.45,+004.10,+004.22,+004.31,+004.57",,,,
2026-01-16T11:23:37Z,1205,hub,1768562577,"Moist,+001.87,+004.30,+001.41,+000.72,+001.46,+000.90,+001.31,+001.53","Temp,+004.80,+004.67,+004.56,+004.50,+004.66,+004.68,+004.71,+005.03",,,,
2026-01-16T11:24:32Z,1206,9f48: @w1r,1768562631,"Moist,+008.66,+008.04,+001.76,+001.07,+001.09,+000.52,+000.57,+000.78","Temp,+004.67,+004.78,+004.55,+004.41,+004.06,+004.18,+004.30,+004.54",,,,
2026-01-16T12:23:43Z,1207,hub,1768566183,"Moist,+001.96,+004.29,+001.42,+000.66,+001.44,+000.90,+001.25,+001.61","Temp,+005.39,+005.26,+005.15,+005.09,+005.28,+005.27,+005.28,+005.51",,,,
2026-01-16T12:24:38Z,1208,9f48: @w1r,1768566237,"Moist,+008.57,+008.02,+001.74,+000.96,+001.08,+000.47,+000.58,+000.75","Temp,+005.37,+005.37,+005.14,+005.05,+004.65,+004.77,+004.89,+005.09",,,,
2026-01-16T13:23:49Z,1209,hub,1768569788,"Moist,+001.92,+004.32,+001.45,+000.71,+001.50,+000.96,+001.33,+001.64","Temp,+006.81,+006.56,+006.51,+006.41,+006.57,+006.53,+006.58,+006.79",,,,
2026-01-16T13:24:44Z,1210,9f48: @w1r,1768569842,"Moist,+008.49,+007.93,+001.84,+000.94,+001.81,+000.72,+001.55,+001.44","Temp,+006.79,+006.78,+006.48,+006.35,+005.95,+006.07,+006.07,+006.31",,,,
2026-01-16T14:23:55Z,1211,hub,1768573394,"Moist,+001.94,+004.30,+001.43,+000.72,+001.48,+001.00,+001.37,+001.70","Temp,+009.48,+008.32,+008.23,+008.42,+008.63,+008.63,+008.62,+008.71",,,,
2026-01-16T14:24:50Z,1212,9f48: @w1r,1768573447,"Moist,+008.22,+007.84,+001.86,+000.90,+001.76,+000.70,+001.50,+001.44","Temp,+009.69,+009.16,+009.29,+009.40,+008.67,+008.56,+008.44,+008.68",,,,
2026-01-16T15:24:01Z,1213,hub,1768576999,"Moist,+002.21,+004.52,+001.36,+000.86,+001.49,+001.12,+001.37,+001.92","Temp,+018.16,+014.81,+016.63,+019.44,+020.30,+020.58,+020.30,+019.82",,,,
2026-01-16T15:24:56Z,1214,9f48: @w1r,1768577053,"Moist,+007.82,+007.75,+002.45,+000.68,+000.90,+000.36,+000.62,+000.83","Temp,+020.81,+018.61,+018.99,+021.92,+023.45,+024.17,+024.64,+025.11",,,,
2026-01-16T16:24:07Z,1215,hub,1768580605,"Moist,+001.85,+004.44,+001.14,+000.86,+001.22,+000.93,+001.15,+001.55","Temp,+025.14,+022.79,+026.81,+030.65,+032.24,+031.73,+030.47,+028.93",,,,
2026-01-16T16:25:02Z,1216,9f48: @w1r,1768580659,"Moist,+002.81,+009.45,+005.36,+001.06,+001.21,+001.58,+000.99,+001.57","Temp,+027.94,+025.71,+027.85,+032.94,+033.26,+033.50,+033.57,+033.90",,,,
2026-01-16T17:24:14Z,1217,hub,1768584211,"Moist,+001.64,+004.11,+000.92,+000.79,+001.14,+000.87,+001.04,+001.32","Temp,+033.31,+031.76,+035.07,+034.20,+036.50,+035.78,+032.71,+033.53",,,,
2026-01-16T18:24:21Z,1218,hub,1768587818,"Moist,+001.57,+003.98,+000.77,+000.82,+001.12,+000.80,+000.89,+001.28","Temp,+036.13,+035.30,+038.35,+037.63,+039.83,+039.47,+038.80,+038.37",,,,
2026-01-16T19:47:58Z,1219,hub,,"Moist,+001.94,+006.38,+002.79,+000.59,+001.15,+002.03,+000.55,+000.78","Temp,+026.85,+027.53,+028.33,+027.97,+028.81,+029.08,+028.83,+028.80",,,,
2026-01-16T19:50:56Z,1220,hub,1768592888,"Moist,+001.95,+006.33,+002.76,+000.62,+001.20,+002.02,+000.58,+000.78","Temp,+026.73,+027.40,+028.21,+027.81,+028.70,+028.94,+028.69,+028.69",,,,
2026-01-16T19:52:13Z,1221,hub,,"Moist,+001.99,+006.31,+002.87,+000.58,+001.21,+002.01,+000.72,+000.79","Temp,+026.05,+026.71,+027.39,+027.15,+027.87,+028.21,+027.98,+027.98",,,,
2026-01-16T20:03:43Z,1222,hub,1768593790,"Moist,+001.97,+006.37,+002.88,+000.71,+001.38,+002.19,+000.70,+000.87","Temp,+024.19,+024.90,+025.19,+025.11,+025.61,+025.85,+025.80,+025.84",,,,
2026-01-16T20:08:45Z,1223,hub,1768594092,"Moist,+002.00,+006.23,+002.87,+000.65,+001.36,+002.19,+000.66,+000.89","Temp,+023.51,+024.19,+024.33,+024.37,+024.69,+025.02,+025.03,+025.12",,,,
2026-01-16T20:09:39Z,1224,9f48: @w1r,1768594145,"Moist,+003.05,+009.94,+005.87,+001.61,+001.48,+002.12,+001.26,+001.51","Temp,+020.81,+020.88,+020.87,+021.00,+020.62,+020.74,+020.82,+021.06",,,,
2026-01-16T20:12:49Z,1225,hub,1768594336,"Moist,+001.91,+006.26,+002.84,+000.60,+001.30,+002.30,+000.62,+000.87","Temp,+023.13,+023.71,+023.84,+023.91,+024.20,+024.45,+024.54,+024.66","Batt,4.04",,,
2026-01-16T20:13:43Z,1226,9f48: @w1r,1768594389,"Moist,+003.05,+009.94,+005.87,+001.62,+001.57,+002.14,+001.28,+001.51","Temp,+020.81,+020.91,+020.87,+021.00,+020.62,+020.75,+020.85,+021.09","Batt,3.92",,,
2026-01-16T20:15:38Z,1227,hub,1768594505,"Moist,+001.92,+006.29,+002.87,+000.62,+001.34,+002.29,+000.62,+000.84","Temp,+022.90,+023.48,+023.59,+023.57,+023.91,+024.19,+024.21,+024.36","Batt,4.01",,,
2026-01-16T20:16:33Z,1228,9f48: @w1r,1768594559,"Moist,+003.06,+009.94,+005.88,+001.63,+001.51,+002.16,+001.28,+001.52","Temp,+020.82,+020.92,+020.87,+021.04,+020.65,+020.76,+020.85,+021.09","Batt,3.92",,,
2026-01-16T22:37:52Z,1229,hub,,"Moist,+002.12,+005.91,+002.78,+000.90,+001.24,+001.06,+000.85,+000.99","Temp,+020.44,+020.53,+020.49,+020.54,+020.54,+020.54,+020.65,+020.89","Batt,5.07",,,
2026-01-16T22:38:44Z,1230,9f48: @w1r,1768603079,"Moist,+003.23,+010.04,+006.23,+001.19,+002.91,+001.43,+001.82,+002.72","Temp,+020.66,+020.75,+020.75,+020.88,+020.50,+020.62,+020.74,+020.96","Batt,3.93",,,
2026-01-16T22:43:06Z,1231,hub,,"Moist,+002.02,+005.87,+002.71,+000.87,+001.25,+001.04,+000.84,+000.93","Temp,+020.32,+020.48,+020.35,+020.45,+020.43,+020.43,+020.54,+020.77","Batt,3.23",,,
2026-01-16T22:43:56Z,1232,9f48: @w1r,1768603397,"Moist,+003.20,+010.06,+006.26,+001.15,+002.89,+001.51,+001.86,+002.88","Temp,+020.57,+020.63,+020.64,+020.76,+020.39,+020.50,+020.62,+020.86","Batt,3.93",,,
2026-01-16T22:44:42Z,1233,hub,1768603447,"Moist,+002.02,+005.87,+002.81,+000.92,+001.24,+001.05,+000.84,+001.00","Temp,+020.29,+020.43,+020.31,+020.38,+020.42,+020.41,+020.53,+020.77","Batt,4.02",,,
2026-01-16T22:45:34Z,1234,9f48: @w1r,1768603500,"Moist,+003.39,+010.06,+006.25,+001.15,+002.89,+001.50,+001.82,+002.88","Temp,+020.55,+020.63,+020.64,+020.76,+020.38,+020.50,+020.62,+020.86","Batt,3.95",,,
2026-01-16T22:58:19Z,1235,hub,,"Moist,+006.81,+005.35,+004.88,+003.98,+004.73,+003.68,+004.43,+005.57","Temp,+022.77,+022.65,+022.54,+022.61,+023.26,+022.65,+022.66,+022.89","Batt,5.06",,,
2026-01-16T22:59:10Z,1236,9f48: @w1r,1768604305,"Moist,+004.83,+009.32,+010.47,+004.69,+003.10,+003.97,+004.90,+005.90","Temp,+021.62,+021.93,+021.95,+022.07,+021.71,+022.16,+021.99,+022.26","Batt,3.95",,,
2026-01-16T23:00:26Z,1237,hub,,"Moist,+006.57,+005.31,+004.89,+003.98,+004.51,+003.48,+003.58,+005.18","Temp,+023.48,+023.31,+023.24,+023.20,+023.75,+023.27,+023.25,+023.47","Batt,5.06",,,
2026-01-16T23:01:17Z,1238,9f48: @w1r,1768604433,"Moist,+004.67,+009.11,+009.72,+004.65,+003.20,+004.00,+004.85,+005.82","Temp,+021.99,+022.40,+022.48,+022.60,+022.28,+022.67,+022.62,+022.87","Batt,4.00",,,
2026-01-17T00:00:21Z,1239,hub,1768607985,"Moist,+006.73,+005.59,+005.33,+004.33,+004.97,+003.72,+003.80,+005.54","Temp,+021.00,+020.99,+021.00,+021.11,+021.16,+021.23,+021.21,+021.32","Batt,5.06",,,
2026-01-17T00:01:13Z,1240,9f48: @w1r,1768608039,"Moist,+004.30,+008.70,+010.05,+004.81,+003.10,+004.14,+005.47,+006.12","Temp,+020.69,+020.98,+021.11,+021.35,+020.87,+020.97,+021.05,+021.09","Batt,3.93",,,
2026-01-17T01:00:26Z,1241,hub,1768611591,"Moist,+006.71,+005.58,+005.34,+004.31,+004.96,+003.77,+003.81,+005.51","Temp,+017.67,+017.59,+017.69,+017.88,+017.87,+017.89,+017.92,+018.04","Batt,5.06",,,
2026-01-17T01:01:20Z,1242,9f48: @w1r,1768611645,"Moist,+004.26,+008.71,+010.08,+004.86,+003.04,+004.16,+005.21,+006.12","Temp,+018.21,+018.17,+018.05,+018.16,+017.71,+017.77,+017.77,+017.85","Batt,3.93",,,
2026-01-17T02:00:32Z,1243,hub,1768615197,"Moist,+006.73,+005.60,+005.34,+004.26,+004.92,+003.69,+003.80,+005.52","Temp,+015.68,+015.55,+015.58,+015.76,+015.81,+015.80,+015.80,+015.96","Batt,5.06",,,
2026-01-17T02:01:26Z,1244,9f48: @w1r,1768615251,"Moist,+004.26,+008.70,+010.05,+004.91,+003.07,+004.19,+005.27,+006.18","Temp,+016.32,+016.25,+016.14,+016.15,+015.69,+015.76,+015.75,+015.84","Batt,3.93",,,
2026-01-17T03:00:38Z,1245,hub,1768618803,"Moist,+006.74,+005.53,+005.33,+004.25,+004.92,+003.82,+003.79,+005.46","Temp,+014.26,+014.13,+014.23,+014.39,+014.39,+014.37,+014.41,+014.60","Batt,5.06",,,
2026-01-17T03:01:34Z,1246,9f48: @w1r,1768618857,"Moist,+004.32,+008.79,+010.06,+004.94,+003.09,+004.24,+005.36,+006.29","Temp,+015.01,+014.95,+014.75,+014.75,+014.35,+014.35,+014.35,+014.47","Batt,3.91",,,
2026-01-17T04:00:45Z,1247,hub,1768622409,"Moist,+006.69,+005.47,+005.19,+004.16,+004.84,+003.66,+003.76,+005.42","Temp,+015.32,+015.09,+015.14,+015.28,+015.32,+015.20,+015.20,+015.32","Batt,5.06",,,
2026-01-17T04:01:40Z,1248,9f48: @w1r,1768622463,"Moist,+004.42,+008.87,+010.00,+004.85,+003.07,+004.18,+005.38,+006.29","Temp,+015.73,+015.70,+015.59,+015.56,+015.18,+015.17,+015.18,+015.42","Batt,3.89",,,
2026-01-17T05:00:51Z,1249,hub,1768626014,"Moist,+006.61,+005.44,+005.16,+004.15,+004.83,+003.66,+003.75,+005.40","Temp,+015.67,+015.55,+015.56,+015.69,+015.69,+015.68,+015.69,+015.80","Batt,5.06",,,
2026-01-17T05:01:45Z,1250,9f48: @w1r,1768626068,"Moist,+004.37,+008.83,+009.88,+004.81,+003.04,+004.08,+005.16,+006.11","Temp,+015.72,+015.78,+015.79,+015.91,+015.41,+015.53,+015.54,+015.73","Batt,3.85",,,
2026-01-17T06:00:57Z,1251,hub,1768629620,"Moist,+006.66,+005.51,+005.31,+004.26,+004.96,+003.74,+003.86,+005.49","Temp,+014.92,+014.84,+014.85,+014.98,+014.98,+014.97,+014.98,+015.09","Batt,5.06",,,
2026-01-17T06:01:52Z,1252,9f48: @w1r,1768629675,"Moist,+004.33,+008.76,+009.97,+004.86,+003.06,+004.08,+005.10,+006.04","Temp,+015.01,+015.07,+015.07,+015.13,+014.70,+014.80,+014.82,+014.96","Batt,3.85",,,
2026-01-17T07:01:03Z,1253,hub,1768633226,"Moist,+006.53,+005.37,+005.22,+004.15,+004.82,+003.77,+003.74,+005.41","Temp,+013.55,+013.46,+013.43,+013.54,+013.56,+013.45,+013.44,+013.53","Batt,5.06",,,
2026-01-17T07:01:58Z,1254,9f48: @w1r,1768633280,"Moist,+004.33,+008.76,+009.83,+004.75,+003.05,+004.00,+005.07,+005.99","Temp,+013.48,+013.53,+013.49,+013.56,+013.17,+013.26,+013.29,+013.44","Batt,3.82",,,
2026-01-17T08:01:10Z,1255,hub,1768636832,"Moist,+006.54,+005.44,+005.17,+004.14,+004.83,+003.77,+003.75,+005.40","Temp,+013.90,+013.80,+013.79,+013.90,+013.91,+013.90,+013.91,+014.02","Batt,5.06",,,
2026-01-17T08:02:04Z,1256,9f48: @w1r,1768636886,"Moist,+004.34,+008.79,+009.85,+004.79,+003.03,+004.03,+005.01,+005.94","Temp,+013.95,+014.01,+014.02,+014.07,+013.64,+013.76,+013.80,+013.98","Batt,3.78",,,
2026-01-17T09:01:16Z,1257,hub,1768640437,"Moist,+006.56,+005.40,+005.17,+004.19,+004.89,+003.76,+003.75,+005.40","Temp,+013.55,+013.54,+013.54,+013.63,+013.68,+013.66,+013.66,+013.78","Batt,5.03",,,
2026-01-17T09:02:10Z,1258,9f48: @w1r,1768640491,"Moist,+004.36,+008.75,+009.87,+004.78,+003.01,+004.01,+005.02,+005.93","Temp,+013.71,+013.77,+013.78,+013.81,+013.40,+013.52,+013.53,+013.65","Batt,3.77",,,
2026-01-17T10:01:22Z,1259,hub,1768644043,"Moist,+006.56,+005.38,+005.23,+004.17,+004.88,+003.79,+003.74,+005.41","Temp,+013.20,+013.19,+013.20,+013.27,+013.32,+013.31,+013.31,+013.43","Batt,5.06",,,
2026-01-17T10:02:17Z,1260,9f48: @w1r,1768644097,"Moist,+004.26,+008.74,+009.85,+004.73,+002.97,+003.97,+005.01,+005.90","Temp,+013.36,+013.42,+013.42,+013.44,+013.05,+013.15,+013.17,+013.29","Batt,3.75",,,
2026-01-17T11:01:28Z,1261,hub,1768647649,"Moist,+006.54,+005.43,+005.20,+004.23,+004.89,+003.65,+003.77,+005.36","Temp,+012.48,+012.48,+012.49,+012.57,+012.61,+012.60,+012.62,+012.72","Batt,5.06",,,
2026-01-17T11:02:23Z,1262,9f48: @w1r,1768647703,"Moist,+004.26,+008.67,+009.80,+004.77,+003.01,+003.95,+004.93,+005.89","Temp,+012.65,+012.73,+012.71,+012.80,+012.34,+012.46,+012.46,+012.59","Batt,3.72",,,
2026-01-17T12:01:34Z,1263,hub,1768651254,"Moist,+006.53,+005.47,+005.32,+004.22,+004.93,+003.70,+003.73,+005.44","Temp,+011.66,+011.65,+011.64,+011.73,+011.78,+011.77,+011.78,+011.89","Batt,5.03",,,
2026-01-17T12:02:29Z,1264,9f48: @w1r,1768651309,"Moist,+004.23,+008.64,+009.89,+004.80,+002.96,+003.97,+004.90,+005.83","Temp,+011.82,+011.88,+011.89,+011.94,+011.51,+011.61,+011.63,+011.76","Batt,3.71",,,
2026-01-17T13:01:40Z,1265,hub,1768654860,"Moist,+006.51,+005.44,+005.32,+004.28,+004.98,+003.62,+003.74,+005.36","Temp,+010.45,+010.35,+010.36,+010.44,+010.48,+010.46,+010.46,+010.57","Batt,5.00",,,
2026-01-17T13:02:35Z,1266,9f48: @w1r,1768654914,"Moist,+004.06,+008.47,+009.77,+004.73,+002.92,+003.87,+004.80,+005.70","Temp,+010.49,+010.52,+010.47,+010.59,+010.19,+010.21,+010.28,+010.41","Batt,3.69",,,
2026-01-17T14:01:46Z,1267,hub,1768658466,"Moist,+006.41,+005.29,+005.07,+003.98,+004.72,+003.46,+003.58,+005.19","Temp,+009.88,+009.80,+009.77,+009.84,+009.93,+009.98,+009.86,+009.88","Batt,5.04",,,
